MP Name,Constituency,State,House,Work Description,Vendor,IDA,Expenditure Amount (₹),Expenditure Date,Payment Status,Normalized_MP_Name
ADITYA YADAV,BADAUN,Uttar Pradesh,Lok Sabha,Lighting of public spaces,Electromech Enterpries,BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA),733960.0,2026-08-17T00:00:00.000Z,Payment In-Progress,aditya yadav
SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Odisha,Lok Sabha,"Construction of roads, link roads, pathways or any other road with or without drainage system",MEMBER SECY OB AND OC WWB BBSR,BOUDH(District Collector Boudh_IDA),3000.0,2026-08-17T00:00:00.000Z,Payment In-Progress,sukanta kumar panigrahi
ANANTA NAYAK,KEONJHAR,Odisha,Lok Sabha,Construction of community centers and community halls,MEMBER SECY OB AND OC WWB BBSR,Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA),3610.0,2026-08-20T00:00:00.000Z,Payment In-Progress,ananta nayak
SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Odisha,Lok Sabha,Street lights,MEMBER SECY OB AND OC WWB BBSR,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),1700.0,2026-08-21T00:00:00.000Z,Payment In-Progress,sukanta kumar panigrahi
Vijay Baghel,DURG,Chhattisgarh,Lok Sabha,"Construction of roads, link roads, pathways or any other road with or without drainage system",SARPANCH GRAM PANCHYAT CHANGORI,DURG(DISTRICT COLLECTOR DURG_IDA),350000.0,2026-08-18T00:00:00.000Z,Payment In-Progress,vijay baghel
SUNIL BOSE,CHAMARAJANAGAR,Karnataka,Lok Sabha,Construction of buildings for community cultural activities,KRIDL BHUSIRI ACCOUNT WORKS,Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA),250000.0,2026-08-20T00:00:00.000Z,Payment In-Progress,sunil bose
Vijay Baghel,DURG,Chhattisgarh,Lok Sabha,"Construction of roads, link roads, pathways or any other road with or without drainage system",SARPANCH GRAM PANCHAYAT BATHENA,DURG(DISTRICT COLLECTOR DURG_IDA),350000.0,2026-08-18T00:00:00.000Z,Payment In-Progress,vijay baghel
Ajay Kumar Mandal,BHAGALPUR,Bihar,Lok Sabha,Construction of water tanks,ASSISTANT ENGINEER NATHNAGAR,BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA),680912.0,2026-08-11T00:00:00.000Z,Payment In-Progress,ajay kumar mandal
ZIA UR REHMAN,SAMBHAL,Uttar Pradesh,Lok Sabha,Lighting of public spaces,R G SUPLLIER,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),36159.0,2026-08-20T00:00:00.000Z,Payment In-Progress,zia ur rehman
BABU SINGH KUSHWAHA,JAUNPUR,Uttar Pradesh,Lok Sabha,Street lights,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),19992.0,2026-07-21T00:00:00.000Z,Payment In-Progress,babu singh kushwaha
BABU SINGH KUSHWAHA,JAUNPUR,Uttar Pradesh,Lok Sabha,Street lights,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),19992.0,2026-07-22T00:00:00.000Z,Payment In-Progress,babu singh kushwaha
BABU SINGH KUSHWAHA,JAUNPUR,Uttar Pradesh,Lok Sabha,Street lights,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),18044.0,2026-07-23T00:00:00.000Z,Payment In-Progress,babu singh kushwaha
BABU SINGH KUSHWAHA,JAUNPUR,Uttar Pradesh,Lok Sabha,Street lights,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),19992.0,2026-08-18T00:00:00.000Z,Payment In-Progress,babu singh kushwaha
BABU SINGH KUSHWAHA,JAUNPUR,Uttar Pradesh,Lok Sabha,Street lights,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),19992.0,2026-07-23T00:00:00.000Z,Payment In-Progress,babu singh kushwaha
DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR,Punjab,Lok Sabha,Installation of multi-gym equipment,Ms Krishan Kumar Bko,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),45000.0,2026-08-21T00:00:00.000Z,Payment In-Progress,raj kumar chabbewal
