Normalized_MP_Name,Total_Works,Total_Expenditure,Risk_Cluster,Segment_Label
a a rahim,36,56633403.0,1,Normal Pacing
aashtikar patil nagesh bapurao,43,63639433.0,1,Normal Pacing
abdul rashid sheikh,67,27222021.0,0,Low Utilization / High Risk (Stalled)
abdul wahab,162,93542861.0,1,Normal Pacing
abhay kumar sinha,28,16049121.0,0,Low Utilization / High Risk (Stalled)
abhijit gangopadhyay,120,38859793.78,0,Low Utilization / High Risk (Stalled)
abhishek banerjee,248,67417393.0,1,Normal Pacing
abu taher khan,27,13709659.0,0,Low Utilization / High Risk (Stalled)
adhikari soumendu,26,33679073.0,0,Low Utilization / High Risk (Stalled)
aditya prasad,234,99224368.0,1,Normal Pacing
aditya yadav,116,58547198.0,1,Normal Pacing
adv adoor prakash,50,12740454.0,0,Low Utilization / High Risk (Stalled)
adv dean kuriakose,78,48919624.0,0,Low Utilization / High Risk (Stalled)
adv gowaal kagada padavi,11,1864825.0,0,Low Utilization / High Risk (Stalled)
adv k francis george,82,37467974.0,0,Low Utilization / High Risk (Stalled)
afzal ansari,208,87967978.0,1,Normal Pacing
aga syed ruhullah mehdi,79,20772671.0,0,Low Utilization / High Risk (Stalled)
ajay bhatt,812,47054402.0,2,High Expenditure (Monitor for rapid drain)
ajay kumar mandal,27,27823462.0,0,Low Utilization / High Risk (Stalled)
ajay makan,10,35435523.0,0,Low Utilization / High Risk (Stalled)
ajay tamta,63,3884739.0,0,Low Utilization / High Risk (Stalled)
ajeet madhavrao gopchade,51,52933472.0,0,Low Utilization / High Risk (Stalled)
ajendra singh lodhi,55,30962581.0,0,Low Utilization / High Risk (Stalled)
akhilesh prasad singh,49,60825563.0,1,Normal Pacing
akhilesh yadav,65,30813811.0,0,Low Utilization / High Risk (Stalled)
akshaya yadav,83,95931875.0,1,Normal Pacing
alfred kanngam s arthur,58,77810002.0,1,Normal Pacing
alok kumar suman,34,29010680.0,0,Low Utilization / High Risk (Stalled)
alok sharma,62,55319017.0,1,Normal Pacing
amar pal maurya,22,19648175.0,0,Low Utilization / High Risk (Stalled)
amar sharadrao kale,40,32855968.0,0,Low Utilization / High Risk (Stalled)
amar singh,442,39413058.0,2,High Expenditure (Monitor for rapid drain)
amarsing tisso,170,65686293.0,1,Normal Pacing
ambica g lakshminarayana valmiki,80,61402871.0,1,Normal Pacing
amit shah,12,8759719.0,0,Low Utilization / High Risk (Stalled)
amol ramsing kolhe,23,18561770.0,0,Low Utilization / High Risk (Stalled)
amraram,295,38066961.0,1,Normal Pacing
amrinder singh raja warring,289,29752811.0,0,Low Utilization / High Risk (Stalled)
anand bhadauriya,100,58482396.0,1,Normal Pacing
anand kumar,102,66987751.0,1,Normal Pacing
ananta nayak,444,28815860.0,2,High Expenditure (Monitor for rapid drain)
andimuthu raja,84,70939439.0,1,Normal Pacing
andrew j syngkon,320,70355000.0,1,Normal Pacing
angomcha bimol akoijam,66,93135392.0,1,Normal Pacing
anil baluni,8,2739441.0,0,Low Utilization / High Risk (Stalled)
anil firojiya,169,56898677.0,1,Normal Pacing
anil kumar yadav mandadi,38,26956185.0,0,Low Utilization / High Risk (Stalled)
anil sukhdeorao bonde,79,82594496.0,1,Normal Pacing
anil yeshwant desai,4,7792570.0,0,Low Utilization / High Risk (Stalled)
anita nagarsingh chouhan,131,44366996.0,0,Low Utilization / High Risk (Stalled)
anita subhadarshini,32,12818448.0,0,Low Utilization / High Risk (Stalled)
annpurna devi,134,38779828.0,0,Low Utilization / High Risk (Stalled)
anoop pradhan balmiki,141,97915147.0,1,Normal Pacing
anto antony,65,23645802.0,0,Low Utilization / High Risk (Stalled)
anup sanjay dhotre,67,49091166.0,0,Low Utilization / High Risk (Stalled)
anupriya patel,8,51505232.0,0,Low Utilization / High Risk (Stalled)
anurag sharma,156,54538753.0,1,Normal Pacing
anurag singh thakur,206,16491823.0,0,Low Utilization / High Risk (Stalled)
aparajita sarangi,163,26647444.0,0,Low Utilization / High Risk (Stalled)
appalanaidu kalisetti,56,22325622.0,0,Low Utilization / High Risk (Stalled)
arjun ram meghwal,44,32644598.0,0,Low Utilization / High Risk (Stalled)
arun bharti,50,30867927.0,0,Low Utilization / High Risk (Stalled)
arun govil,125,62576149.0,1,Normal Pacing
arun kumar sagar,32,122223000.0,1,Normal Pacing
arun nehru,72,67582774.0,1,Normal Pacing
arun singh,167,147712883.0,1,Normal Pacing
aruna d k,71,24460667.0,0,Low Utilization / High Risk (Stalled)
arup chakraborty,33,51184558.0,0,Low Utilization / High Risk (Stalled)
arvind dharmapuri,465,146895609.0,2,High Expenditure (Monitor for rapid drain)
arvind ganpat sawant,18,28859509.0,0,Low Utilization / High Risk (Stalled)
asaduddin owaisi,7,11172317.0,0,Low Utilization / High Risk (Stalled)
ashish dubey,86,14696931.0,0,Low Utilization / High Risk (Stalled)
ashok kumar mittal,222,41162368.0,1,Normal Pacing
ashok kumar rawat,23,76402835.0,1,Normal Pacing
ashok kumar yadav,28,19418959.0,0,Low Utilization / High Risk (Stalled)
ashok singh,55,17548715.0,0,Low Utilization / High Risk (Stalled)
ashokrao shankarrao chavan,8,8968982.0,0,Low Utilization / High Risk (Stalled)
ashwini vaishnaw,21,14565426.0,0,Low Utilization / High Risk (Stalled)
asit kumar mal,139,155458093.0,1,Normal Pacing
atul garg,48,41763485.0,0,Low Utilization / High Risk (Stalled)
avimanyu sethi,61,21475579.0,0,Low Utilization / High Risk (Stalled)
awadhesh prasad,115,71363512.0,1,Normal Pacing
azad kirti jha,29,32850474.0,0,Low Utilization / High Risk (Stalled)
b k parthasarathi,62,47268554.0,0,Low Utilization / High Risk (Stalled)
b parthasaradhi reddy,6,5445593.0,0,Low Utilization / High Risk (Stalled)
b y raghavendra,189,43373447.0,1,Normal Pacing
babu singh kushwaha,80,34302153.0,0,Low Utilization / High Risk (Stalled)
babubhai jesangbhai desai,143,71460250.0,1,Normal Pacing
baburam nishad,83,37064224.44,0,Low Utilization / High Risk (Stalled)
bachhav shobha dinesh,11,10145787.0,0,Low Utilization / High Risk (Stalled)
bag mitali,56,36173189.0,0,Low Utilization / High Risk (Stalled)
baijayant panda,28,17127535.0,0,Low Utilization / High Risk (Stalled)
bajrang manohar sonwane,38,36980751.0,0,Low Utilization / High Risk (Stalled)
balabhadra majhi,112,14615740.0,0,Low Utilization / High Risk (Stalled)
balashowry vallabbhaneni,24,13632706.0,0,Low Utilization / High Risk (Stalled)
balram naik porika,221,56667380.0,1,Normal Pacing
balwant baswant wankhade,108,89303617.0,1,Normal Pacing
balya mama suresh gopinath mhatre,64,52130514.0,0,Low Utilization / High Risk (Stalled)
balyogi umeshnath,80,40407000.0,0,Low Utilization / High Risk (Stalled)
banshilal gurjar,90,39374435.0,0,Low Utilization / High Risk (Stalled)
bansuri swaraj,41,20377578.0,0,Low Utilization / High Risk (Stalled)
bapi haldar,100,38508401.0,0,Low Utilization / High Risk (Stalled)
basavaraj bommai,136,47936447.0,1,Normal Pacing
bastipati nagaraju panchalingala,71,28636010.0,0,Low Utilization / High Risk (Stalled)
benny behanan,32,28473024.0,0,Low Utilization / High Risk (Stalled)
bhagirath chaudhary,604,45926085.0,2,High Expenditure (Monitor for rapid drain)
bhajan lal jatav,139,7253086.0,0,Low Utilization / High Risk (Stalled)
bharat singh kushwah,39,12867595.0,0,Low Utilization / High Risk (Stalled)
bharatbhai manubhai sutariya,182,60146765.0,1,Normal Pacing
bharatsinhji shankarji dabhi,168,55226315.0,1,Normal Pacing
bharti pardhi,304,54299828.0,1,Normal Pacing
bhartruhari mahtab,229,34218477.0,0,Low Utilization / High Risk (Stalled)
bhaskar murlidhar bhagare,36,33083627.0,0,Low Utilization / High Risk (Stalled)
bhausaheb rajaram wakchaure,32,19420448.0,0,Low Utilization / High Risk (Stalled)
bhim singh,174,122995682.0,1,Normal Pacing
bhojraj nag,87,31735836.0,0,Low Utilization / High Risk (Stalled)
bhola singh,77,55843387.0,1,Normal Pacing
bhumare sandipanrao asaram,36,49608440.0,0,Low Utilization / High Risk (Stalled)
bhupender yadav,67,59285868.0,1,Normal Pacing
bibhu prasad tarai,67,11731683.0,0,Low Utilization / High Risk (Stalled)
bidyut baran mahato,105,40177947.0,0,Low Utilization / High Risk (Stalled)
bijuli kalita medhi,165,71052648.0,1,Normal Pacing
biplab kumar deb,26,51962677.0,0,Low Utilization / High Risk (Stalled)
birendra prasad baishya,24,26202530.0,0,Low Utilization / High Risk (Stalled)
bishnu pada ray,9,15498347.0,0,Low Utilization / High Risk (Stalled)
bl verma,129,58187902.17,1,Normal Pacing
brij lal,57,89290638.0,1,Normal Pacing
brijendra singh ola,446,55578451.0,2,High Expenditure (Monitor for rapid drain)
brijmohan agrawal,163,67181217.0,1,Normal Pacing
bunty vivek sahu,420,52561964.0,2,High Expenditure (Monitor for rapid drain)
byreddy shabari,111,49209558.0,1,Normal Pacing
c n manjunath,149,46151845.0,1,Normal Pacing
c r patil,227,55154163.0,1,Normal Pacing
captain brijesh chowta,98,46139588.0,0,Low Utilization / High Risk (Stalled)
captain viriato fernandes,63,38353802.0,0,Low Utilization / High Risk (Stalled)
chamala kiran kumar reddy,182,34916417.0,0,Low Utilization / High Risk (Stalled)
chandan chauhan,206,79306036.0,1,Normal Pacing
chandra prakash choudhary,143,29125556.0,0,Low Utilization / High Risk (Stalled)
chandra prakash joshi,38,4557289.0,0,Low Utilization / High Risk (Stalled)
chandra sekhar pemmasani,41,34347164.0,0,Low Utilization / High Risk (Stalled)
chandra shekhar,110,30172266.0,0,Low Utilization / High Risk (Stalled)
chandrakant damodar handore,19,66938921.0,1,Normal Pacing
chandubhai chhaganbhai shihora,198,56920587.0,1,Normal Pacing
charanjit singh channi,176,23562502.0,0,Low Utilization / High Risk (Stalled)
chhatra pal singh gangwar,137,36902749.0,0,Low Utilization / High Risk (Stalled)
chhatrapati shahu shahaji,34,33696592.0,0,Low Utilization / High Risk (Stalled)
chhotelal,193,42203601.0,1,Normal Pacing
chintamani maharaj,171,39090386.0,0,Low Utilization / High Risk (Stalled)
chirag paswan,50,47783578.0,0,Low Utilization / High Risk (Stalled)
chunnilal garasiya,161,71424004.0,1,Normal Pacing
cmramesh,40,35702996.0,0,Low Utilization / High Risk (Stalled)
cn annadurai,140,64120892.0,1,Normal Pacing
d m kathir anand,37,32628871.0,0,Low Utilization / High Risk (Stalled)
d ravikumar,83,64555750.0,1,Normal Pacing
daggubati purandeshwari,13,14394558.0,0,Low Utilization / High Risk (Stalled)
daggumalla prasada rao,152,74359330.0,1,Normal Pacing
damodar agarwal,806,55019323.0,2,High Expenditure (Monitor for rapid drain)
damodar rao divakonda,114,64698545.0,1,Normal Pacing
daroga prasad saroj,46,20017774.0,0,Low Utilization / High Risk (Stalled)
darshan singh choudhary,244,23864052.0,0,Low Utilization / High Risk (Stalled)
darshana singh,133,174994106.0,1,Normal Pacing
deepak adhikari,70,51041278.0,0,Low Utilization / High Risk (Stalled)
deepender singh hooda,143,58129766.0,1,Normal Pacing
derek o brien,16,70787264.0,1,Normal Pacing
devendra alias bhole singh,58,41775033.0,0,Low Utilization / High Risk (Stalled)
devendra pratap singh,14,8275468.0,0,Low Utilization / High Risk (Stalled)
devesh chandra thakur,40,18299250.0,0,Low Utilization / High Risk (Stalled)
devesh shakya,39,12680840.0,0,Low Utilization / High Risk (Stalled)
devusinh jesingbhai chauhan,272,51964124.0,1,Normal Pacing
dhairyasheel sambhajirao mane,5,7519206.0,0,Low Utilization / High Risk (Stalled)
dhananjay bhimrao mahadik,38,45917269.0,0,Low Utilization / High Risk (Stalled)
dhanorkar pratibha suresh alias balubhau,14,14990871.0,0,Low Utilization / High Risk (Stalled)
dharambir singh,133,47798498.0,1,Normal Pacing
dharamvira gandhi,1109,49322158.0,2,High Expenditure (Monitor for rapid drain)
dharmasthala veerendra heggade,94,28690116.0,0,Low Utilization / High Risk (Stalled)
dharmendra pradhan,23,5627641.0,0,Low Utilization / High Risk (Stalled)
dharmendra yadav,50,58087374.0,1,Normal Pacing
dharmshila gupta,112,135266096.0,1,Normal Pacing
dhaval laxmanbhai patel,51,28010160.0,0,Low Utilization / High Risk (Stalled)
dileshwar kamait,24,38339681.0,0,Low Utilization / High Risk (Stalled)
dilip saikia,124,21799606.0,0,Low Utilization / High Risk (Stalled)
dimple yadav,127,71355329.0,1,Normal Pacing
dinesh chandra yadav,20,16625814.0,0,Low Utilization / High Risk (Stalled)
dinesh sharma,61,56133225.0,1,Normal Pacing
dineshbhai makwana,4,25122452.0,0,Low Utilization / High Risk (Stalled)
dorjee tshering lepcha,166,86686269.0,1,Normal Pacing
dulu mahato,133,26345360.0,0,Low Utilization / High Risk (Stalled)
durai vaiko,51,58642171.0,1,Normal Pacing
durga das uikey,135,19086851.0,0,Low Utilization / High Risk (Stalled)
dushyant singh,25,5863203.0,0,Low Utilization / High Risk (Stalled)
e tukaram,17,9885937.0,0,Low Utilization / High Risk (Stalled)
eatala rajender,58,34422725.0,0,Low Utilization / High Risk (Stalled)
eswarasamy k,53,53072188.0,0,Low Utilization / High Risk (Stalled)
et mohammed basheer,67,29640090.0,0,Low Utilization / High Risk (Stalled)
faggan singh kulaste,269,51395744.0,1,Normal Pacing
faiyaz ahmad,145,154069466.0,1,Normal Pacing
g kumar naik,38,19696564.0,0,Low Utilization / High Risk (Stalled)
gaikwad varsha eknath,51,88069273.0,1,Normal Pacing
gajendra singh patel,164,44393749.0,1,Normal Pacing
gajendra singh shekhawat,1,491827.0,0,Low Utilization / High Risk (Stalled)
ganapathy rajkumar p,24,34787960.0,0,Low Utilization / High Risk (Stalled)
ganesan selvam,97,70656379.0,1,Normal Pacing
ganesh singh,123,28919958.0,0,Low Utilization / High Risk (Stalled)
gaurav gogoi,442,39148773.0,2,High Expenditure (Monitor for rapid drain)
gc chandrashekhar,128,62638499.0,1,Normal Pacing
geeta alias chandraprabha,147,101371869.34,1,Normal Pacing
geniben nagaji thakor,61,23532765.0,0,Low Utilization / High Risk (Stalled)
ghanshyam tiwari,181,45267046.0,1,Normal Pacing
giridhari yadav,31,34293391.0,0,Low Utilization / High Risk (Stalled)
giriraj singh,37,32384389.0,0,Low Utilization / High Risk (Stalled)
gm harish balayogi,60,50537900.0,0,Low Utilization / High Risk (Stalled)
godam nagesh,109,30382107.0,0,Low Utilization / High Risk (Stalled)
golla baburao,19,18853785.0,0,Low Utilization / High Risk (Stalled)
gopal jee thakur,28,12776032.0,0,Low Utilization / High Risk (Stalled)
gopinath k,40,30036719.0,0,Low Utilization / High Risk (Stalled)
govind makthappa karjol,106,40645747.0,0,Low Utilization / High Risk (Stalled)
govindbhai laljibhai dholakia,51,24017039.0,0,Low Utilization / High Risk (Stalled)
gulam ali,51,92367253.0,1,Normal Pacing
gumma thanuja rani,85,69195355.0,1,Normal Pacing
gurjeet singh aujla,314,64221497.0,1,Normal Pacing
gurmeet singh meet hayer,490,42961140.0,2,High Expenditure (Monitor for rapid drain)
gyaneshwar patil,218,34432188.0,0,Low Utilization / High Risk (Stalled)
hanuman beniwal,263,63812206.0,1,Normal Pacing
harbhajan singh,473,93024084.52,2,High Expenditure (Monitor for rapid drain)
hardeep singh puri,432,127971869.42,2,High Expenditure (Monitor for rapid drain)
harendra singh malik,137,44404804.0,0,Low Utilization / High Risk (Stalled)
haribhai patel,252,49259435.0,1,Normal Pacing
haris beeran,23,17480985.0,0,Low Utilization / High Risk (Stalled)
harsh mahajan,426,69300167.0,2,High Expenditure (Monitor for rapid drain)
harsh malhotra,39,20855450.0,0,Low Utilization / High Risk (Stalled)
harsimrat kaur badal,1231,73110931.0,2,High Expenditure (Monitor for rapid drain)
hasmukh bhai soma bhai patel,35,31871270.0,0,Low Utilization / High Risk (Stalled)
hd kumaraswamy,66,22825000.0,0,Low Utilization / High Risk (Stalled)
hema malini,72,40027547.0,0,Low Utilization / High Risk (Stalled)
hemang joshi,103,59624442.0,1,Normal Pacing
hemant vishnu savara,11,8415952.0,0,Low Utilization / High Risk (Stalled)
hibi eden,33,24576910.0,0,Low Utilization / High Risk (Stalled)
himadri singh,97,45115732.0,0,Low Utilization / High Risk (Stalled)
ilaiyaraaja,25,42418600.0,0,Low Utilization / High Risk (Stalled)
imran masood,73,61171580.0,1,Normal Pacing
imran pratapgarhi,53,99860610.0,1,Normal Pacing
indra hang subba,75,83342508.0,1,Normal Pacing
iqra choudhary,53,47965862.0,0,Low Utilization / High Risk (Stalled)
is inbadurai,21,11199577.0,0,Low Utilization / High Risk (Stalled)
isha khan choudhury,21,7176819.0,0,Low Utilization / High Risk (Stalled)
jagadish chandra barma basunia,13,21111953.0,0,Low Utilization / High Risk (Stalled)
jagadish shettar,29,9847651.0,0,Low Utilization / High Risk (Stalled)
jagannath sarkar,62,31868288.0,0,Low Utilization / High Risk (Stalled)
jagat prakash nadda,4,1600000.0,0,Low Utilization / High Risk (Stalled)
jagdambika pal,46,35855356.0,0,Low Utilization / High Risk (Stalled)
jaggesh,133,101244838.0,1,Normal Pacing
jai parkash,241,55479392.0,1,Normal Pacing
jai prakash,47,85755277.0,1,Normal Pacing
jairam ramesh,64,63903485.0,1,Normal Pacing
janardan mishra,74,84196402.0,1,Normal Pacing
janardan singh sigriwal,40,38417759.0,0,Low Utilization / High Risk (Stalled)
jashubhai bhilubhai rathva,110,32926028.0,0,Low Utilization / High Risk (Stalled)
jaswantsinh sumanbhai bhabhor,84,24714551.0,0,Low Utilization / High Risk (Stalled)
javed ali khan,153,132418638.28,1,Normal Pacing
jaya amitabh bachchan,21,21904185.0,0,Low Utilization / High Risk (Stalled)
jayant chaudhary,25,43141697.0,0,Low Utilization / High Risk (Stalled)
jayanta kumar roy,5,12082736.0,0,Low Utilization / High Risk (Stalled)
jebi mather hisham,72,53132435.0,1,Normal Pacing
jitan ram manjhi,93,45545787.0,0,Low Utilization / High Risk (Stalled)
jitendra kumar dohare,41,18729187.0,0,Low Utilization / High Risk (Stalled)
jitendra singh,214,47036079.0,1,Normal Pacing
jitin prasada,87,39498261.0,0,Low Utilization / High Risk (Stalled)
joba majhi,35,18443571.0,0,Low Utilization / High Risk (Stalled)
john brittas,57,57506835.0,1,Normal Pacing
jose k mani,44,19384930.0,0,Low Utilization / High Risk (Stalled)
joyanta basumatary,77,61755971.0,1,Normal Pacing
jual oram,184,44091531.0,1,Normal Pacing
jugal kishore sharma,96,30369749.0,0,Low Utilization / High Risk (Stalled)
june maliah,27,36949288.0,0,Low Utilization / High Risk (Stalled)
jyotiraditya m scindia,89,50305850.0,0,Low Utilization / High Risk (Stalled)
jyotirmay singh mahato,3,1133403.0,0,Low Utilization / High Risk (Stalled)
jyotsna charandas mahant,407,71349859.0,2,High Expenditure (Monitor for rapid drain)
k c venugopal,67,44331588.0,0,Low Utilization / High Risk (Stalled)
k e prakash,86,64833562.0,1,Normal Pacing
k laxman,73,62784327.0,1,Normal Pacing
k radhakrishnan,28,27024636.0,0,Low Utilization / High Risk (Stalled)
k rajashekar basavaraj hitnal,177,57745068.0,1,Normal Pacing
k subbarayan,70,79467300.0,1,Normal Pacing
kadiyam kavya,56,22317091.0,0,Low Utilization / High Risk (Stalled)
kakoli ghosh dastidar,60,55996272.0,1,Normal Pacing
kalanidhi veeraswamy,45,74973669.0,1,Normal Pacing
kalge shivaji bandappa,32,27552579.0,0,Low Utilization / High Risk (Stalled)
kali charan munda,120,43098745.0,0,Low Utilization / High Risk (Stalled)
kali charan singh,192,34452750.0,0,Low Utilization / High Risk (Stalled)
kalipada saren,44,67610918.0,1,Normal Pacing
kalpana saini,157,64724917.0,1,Normal Pacing
kalyan banerjee,110,76719145.0,1,Normal Pacing
kalyan vaijinathrao kale,41,38752304.0,0,Low Utilization / High Risk (Stalled)
kamakhya prasad tasa,32,11710303.0,0,Low Utilization / High Risk (Stalled)
kamaljeet sehrawat,30,12173759.0,0,Low Utilization / High Risk (Stalled)
kamlesh jangde,192,64674561.0,1,Normal Pacing
kamlesh paswan,46,29311397.0,0,Low Utilization / High Risk (Stalled)
kanad purkayastha,29,22663207.0,0,Low Utilization / High Risk (Stalled)
kangana ranaut,227,42407667.0,1,Normal Pacing
kani k navas,59,42604021.0,0,Low Utilization / High Risk (Stalled)
kanimozhi karunanidhi,34,58344698.0,1,Normal Pacing
kanwar singh tanwar,81,78135018.0,1,Normal Pacing
kapil sibal,197,80372274.12,1,Normal Pacing
karan bhushan singh,142,93585206.0,1,Normal Pacing
karti p chidambaram,135,90238717.0,1,Normal Pacing
kartick chandra paul,7,3940385.0,0,Low Utilization / High Risk (Stalled)
kartikeya sharma,2,1161226.0,0,Low Utilization / High Risk (Stalled)
kaushalendra kumar,94,44517141.0,0,Low Utilization / High Risk (Stalled)
kavita patidar,234,78023308.12,1,Normal Pacing
kesridevsinh jhala,42,21617510.0,0,Low Utilization / High Risk (Stalled)
khagen murmu,6,5482808.0,0,Low Utilization / High Risk (Stalled)
khalilur rahaman,9,8511496.0,0,Low Utilization / High Risk (Stalled)
khiru mahto,175,182298558.0,1,Normal Pacing
kinjarapu ram mohan naidu,102,53576961.0,1,Normal Pacing
kiren rijiju,143,80356622.0,1,Normal Pacing
kirsan namdeo,26,22599453.0,0,Low Utilization / High Risk (Stalled)
kirti vardhan singh,174,69217762.0,1,Normal Pacing
kishan reddy gangapuram,4,4554322.0,0,Low Utilization / High Risk (Stalled)
kishori lal,74,80095298.0,1,Normal Pacing
konda vishweshwar reddy,189,52589256.0,1,Normal Pacing
kota srinivas poojary,106,38622793.0,0,Low Utilization / High Risk (Stalled)
kripanath mallah,48,23700107.0,0,Low Utilization / High Risk (Stalled)
krishan pal gurjar,45,23168966.0,0,Low Utilization / High Risk (Stalled)
krishna devi shivshanker patel,68,13643560.47,0,Low Utilization / High Risk (Stalled)
krishna prasad tenneti,23,16927605.0,0,Low Utilization / High Risk (Stalled)
kriti devi debbarman,9,17438783.0,0,Low Utilization / High Risk (Stalled)
krn rajeshkumar,96,148008917.0,1,Normal Pacing
ksudhakar,86,23955335.0,0,Low Utilization / High Risk (Stalled)
kuldeep indora,37,10617918.0,0,Low Utilization / High Risk (Stalled)
kumbakudi sudhakaran,44,20015606.0,0,Low Utilization / High Risk (Stalled)
kunduru raghuveer,9,7766945.0,0,Low Utilization / High Risk (Stalled)
l murugan,37,36859774.0,0,Low Utilization / High Risk (Stalled)
lahar singh siroya,7,9847659.0,0,Low Utilization / High Risk (Stalled)
lalji verma,215,83164675.0,1,Normal Pacing
lata wankhede,236,90124470.0,1,Normal Pacing
lavu sri krishna devarayalu,4,2402685.0,0,Low Utilization / High Risk (Stalled)
laxmi verma,2,1250000.0,0,Low Utilization / High Risk (Stalled)
laxmikant bajpayee,36,38761207.0,0,Low Utilization / High Risk (Stalled)
laxmikant pappu nishad,10,6806487.0,0,Low Utilization / High Risk (Stalled)
lovely anand,22,26268801.0,0,Low Utilization / High Risk (Stalled)
ls tejasvi surya,51,40913804.0,0,Low Utilization / High Risk (Stalled)
lumbaram,563,52431179.0,2,High Expenditure (Monitor for rapid drain)
m dhanapal,17,13581422.0,0,Low Utilization / High Risk (Stalled)
m k raghavan,25,9037475.0,0,Low Utilization / High Risk (Stalled)
m mallesh babu,110,37408155.0,0,Low Utilization / High Risk (Stalled)
madan rathore,228,32460541.0,0,Low Utilization / High Risk (Stalled)
maddila gurumoorthy,153,61682697.0,1,Normal Pacing
madhavaneni raghunandan rao,48,29984168.0,0,Low Utilization / High Risk (Stalled)
magunta sreenivasulu reddy,8,9129157.0,0,Low Utilization / High Risk (Stalled)
